Name,Ticker,Asset_Type,Price,Date,Time
Advanced Micro Devices,AMD,Stock,444.48438583201295,2026-08-14,12:31:11
RTX Corporation,RTX,Stock,192.66836686027503,2026-08-14,12:31:11
L'Oréal,OR.PA,Stock,327.9259309466483,2026-08-14,12:31:11
Salesforce,CRM,Stock,169.5450569504427,2026-08-14,12:31:11
Netflix,NFLX,Stock,67.53805524029158,2026-08-14,12:31:11
Deere & Company,DE,Stock,526.1072333356063,2026-08-14,12:31:11
Toronto-Dominion Bank,TD,Stock,107.45947028372933,2026-08-14,12:31:11
LVMH,MC.PA,Stock,396.103411711311,2026-08-14,12:31:11
Adobe,ADBE,Stock,228.13965925120473,2026-08-14,12:31:11
AT&T,T,Stock,21.507447222956447,2026-08-14,12:31:11
Oracle,ORCL,Stock,130.06432813475686,2026-08-14,12:31:11
Verizon,VZ,Stock,41.89156517043723,2026-08-14,12:31:11
Linde,LIN,Stock,417.13560132485725,2026-08-14,12:31:11
Philip Morris International,PM,Stock,164.51598891378725,2026-08-14,12:31:11
ServiceNow,NOW,Stock,107.14839377439891,2026-08-14,12:31:11
Siemens,SIE.DE,Stock,245.40438574136525,2026-08-14,12:31:11
Honeywell,HON,Stock,202.16483005514883,2026-08-14,12:31:11
TotalEnergies,TTE,Stock,76.32595014747761,2026-08-14,12:31:11
Disney,DIS,Stock,92.32907831692782,2026-08-14,12:31:11
Honda,HMC,Stock,27.288276348554387,2026-08-14,12:31:11
Texas Instruments,TXN,Stock,241.5850523603732,2026-08-14,12:31:11
Comcast,CMCSA,Stock,22.622136949297243,2026-08-14,12:31:11
Qualcomm,QCOM,Stock,143.25912487481864,2026-08-14,12:31:11
Exxon Mobil,XOM,Stock,138.34240723599322,2026-08-14,12:31:11
UPS,UPS,Stock,90.29844475342489,2026-08-14,12:31:11
Sanofi,SAN.PA,Stock,65.25682530768196,2026-08-14,12:31:11
Chevron,CVX,Stock,172.8199899587079,2026-08-14,12:31:11
Caterpillar,CAT,Stock,740.1621003235092,2026-08-14,12:31:11
Shopify,SHOP,Stock,133.34791058099609,2026-08-14,12:31:11
Boeing,BA,Stock,200.18603378645506,2026-08-14,12:31:11
Allianz,ALV.DE,Stock,382.53705832169504,2026-08-14,12:31:11
Charles Schwab,SCHW,Stock,95.99286025813578,2026-08-14,12:31:11
Intel,INTC,Stock,88.5702448538378,2026-08-14,12:31:11
IBM,IBM,Stock,202.47590656447926,2026-08-14,12:31:11
Infosys,INFY,Stock,10.446968524855082,2026-08-14,12:31:11
